Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,COT,arc labels,,0.47775571002979145,0.06212121212121212,0.5394736842105263
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,none-HS4,arc labels,,0.4922542204568024,0.06428571428571428,0.35526315789473684
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,none-HSsrc,nothing,,0.4689672293942403,0.05172413793103448,0.19736842105263158
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,none-PCA,arc segments,16.0,0.4525819265143992,0.054307116104868915,0.3815789473684211
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,QOTu-HS4,arc labels,,0.450695134061569,0.03937007874015748,0.13157894736842105
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,QOTu-HSsrc,arc segments,,0.4685700099304866,0.04878048780487805,0.15789473684210525
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,QOTu-PCA,arc segments,16.0,0.44364448857994043,0.03543307086614173,0.11842105263157894
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,QOTc-HS4,arc labels,,0.4756703078450844,0.05092592592592592,0.14473684210526316
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,QOTc-HSsrc,arc labels,,0.4677755710029792,0.05656108597285068,0.32894736842105265
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,QOTc-PCA,arc labels,32.0,0.4676762661370407,0.045871559633027525,0.13157894736842105
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,SDM-HS4,arc labels,,0.4752482621648461,0.0481283422459893,0.11842105263157894
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,SDM-HSsrc,arc labels,,0.4640019860973188,0.05555555555555555,0.32894736842105265
Left,contig,HTL,PTT,1,0.1,1,1136,76,227,11,SDM-PCA,arc labels,32.0,0.5318272095332671,0.07384615384615385,0.631578947368421
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,TargetOnly,arc labels,,0.48540218470705065,0.06335616438356165,0.4868421052631579
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,Source+Target,arc labels,,0.5073485600794438,0.07692307692307693,0.10526315789473684
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,COT,arc labels,,0.4977408142999007,0.06627680311890838,0.4473684210526316
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,none-HS4,arc labels,,0.4451837140019861,0.05,0.3026315789473684
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,none-HSsrc,nothing,,0.4689672293942403,0.05172413793103448,0.19736842105263158
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,none-PCA,arc segments,16.0,0.45397219463753724,0.054945054945054944,0.39473684210526316
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,QOTu-HS4,arc labels,,0.4431727904667329,0.03529411764705882,0.11842105263157894
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,QOTu-HSsrc,arc segments,,0.4685700099304866,0.04878048780487805,0.15789473684210525
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,QOTu-PCA,arc segments,16.0,0.4620407149950348,0.04186046511627907,0.11842105263157894
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,QOTc-HS4,arc labels,,0.5554865938430983,0.08108108108108109,0.5921052631578947
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,QOTc-HSsrc,arc labels,,0.5382323733862959,0.07407407407407407,0.7368421052631579
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,QOTc-PCA,arc labels,32.0,0.43709036742800395,0.029411764705882353,0.09210526315789473
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,SDM-HS4,arc labels,,0.3969215491559086,0.02717391304347826,0.13157894736842105
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,SDM-HSsrc,arc labels,,0.5541956305858987,0.07692307692307693,0.7763157894736842
Left,contig,HTL,PTT,1,0.2,1,1136,76,454,25,SDM-PCA,arc labels,64.0,0.45287984111221447,0.05642633228840126,0.47368421052631576
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,TargetOnly,arc labels,,0.564746772591857,0.09269662921348315,0.4342105263157895
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,Source+Target,arc labels,,0.5073733862959285,0.07865168539325842,0.09210526315789473
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,COT,arc labels,,0.5373386295928501,0.07882882882882883,0.4605263157894737
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,none-HS4,arc labels,,0.4526564051638531,0.053169734151329244,0.34210526315789475
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,none-HSsrc,nothing,,0.4689672293942403,0.05172413793103448,0.19736842105263158
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,none-PCA,arc segments,16.0,0.4525571002979146,0.0546448087431694,0.39473684210526316
