Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,TargetOnly,arc labels,,0.49862474344833363,0.0584958217270195,0.31343283582089554
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,Source+Target,arc labels,,0.5022967482512601,0.06896551724137931,0.029850746268656716
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,COT,arc labels,,0.4314884883347528,0.046742209631728045,0.4925373134328358
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,none-HS4,arc labels,,0.4980662636303981,0.05454545454545454,0.04477611940298507
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,none-PCA,arc segments,8.0,0.516670622565377,0.08,0.11940298507462686
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,QOTu-HS4,arc labels,,0.514122558396046,0.06545454545454546,0.26865671641791045
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,QOTu-HSsrc,arc segments,,0.49403124694581346,0.05647840531561462,0.2537313432835821
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,QOTu-PCA,arc segments,8.0,0.49028943216564513,0.05501618122977346,0.2537313432835821
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,QOTc-HS4,arc labels,,0.5258576155704173,0.07407407407407407,0.23880597014925373
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,QOTc-HSsrc,arc labels,,0.4697513368610642,0.047021943573667714,0.22388059701492538
Right,contig,HTL,PTT,2,0.2,1,1136,67,454,25,QOTc-PCA,arc labels,32.0,0.4316281082892367,0.018691588785046728,0.05970149253731343
