Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Right,contig,HTL,PTT,7,0.2,1136,41,454,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,7,0.3,1136,41,682,COT-u,arc segments,0.7959683706426106,0.09814323607427056,0.9024390243902439
Right,contig,HTL,PTT,7,0.3,1136,41,682,SDMu-HS4,arc labels,0.6804432564873594,0.05873015873015873,0.9024390243902439
Right,contig,HTL,PTT,7,0.3,1136,41,682,SDMu-HSsrc,arc segments,0.6661543601737387,0.055152394775036286,0.926829268292683
Right,contig,HTL,PTT,7,0.3,1136,41,682,SDMu-PCA,arc segments,0.6388907450718343,0.05131761442441054,0.9024390243902439
Right,contig,HTL,PTT,7,0.5,1136,41,1124,COT-u,arc segments,0.7589820692727476,0.08078602620087336,0.9024390243902439
Right,contig,HTL,PTT,7,0.5,1136,41,1124,SDMu-HS4,arc labels,0.6392137209043324,0.05080213903743316,0.926829268292683
Right,contig,HTL,PTT,7,0.5,1136,41,1124,SDMu-HSsrc,arc segments,0.6011805323532687,0.04540162980209546,0.9512195121951219
Right,contig,HTL,PTT,7,0.5,1136,41,1124,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,RTT,0,0.05,2129,47,213,COT-u,arc segments,0.5660422670509125,0.02535059331175836,1.0
Right,contig,HTL,RTT,0,0.05,2129,47,213,SDMu-HSsrc,arc segments,0.5501921229586936,0.024479166666666666,1.0
Right,contig,HTL,RTT,0,0.05,2129,47,213,SDMu-PCA,arc segments,0.6463762339812373,0.03248259860788863,0.8936170212765957
Right,contig,HTL,RTT,0,0.1,2129,47,426,COT-u,arc segments,0.6962055715658021,0.035823170731707314,1.0
Right,contig,HTL,RTT,0,0.1,2129,47,426,SDMu-HSsrc,arc segments,0.6933237271853987,0.035498489425981876,1.0
Right,contig,HTL,RTT,0,0.1,2129,47,426,SDMu-PCA,arc segments,0.5,0.02207609206200094,1.0
Right,contig,HTL,RTT,0,0.2,2129,47,852,COT-u,arc segments,0.745196926032661,0.042418772563176894,1.0
Right,contig,HTL,RTT,0,0.2,2129,47,852,SDMu-HS4,arc labels,0.747286774173769,0.04364326375711575,0.9787234042553191
Right,contig,HTL,RTT,0,0.2,2129,47,852,SDMu-HSsrc,arc segments,0.7609755349806855,0.04613841524573721,0.9787234042553191
Right,contig,HTL,RTT,0,0.2,2129,47,852,SDMu-PCA,arc segments,0.5,0.02207609206200094,1.0
Right,contig,HTL,RTT,0,0.3,2129,47,1278,COT-u,arc segments,0.7896253602305475,0.050920910075839654,1.0
Right,contig,HTL,RTT,0,0.3,2129,47,1278,SDMu-HS4,arc labels,0.7939481268011528,0.051933701657458566,1.0
Right,contig,HTL,RTT,0,0.3,2129,47,1278,SDMu-HSsrc,arc segments,0.7779549124205449,0.0510783200908059,0.9574468085106383
Right,contig,HTL,RTT,0,0.3,2129,47,1278,SDMu-PCA,arc segments,0.48824268808633275,0.02122641509433962,0.574468085106383
Right,contig,HTL,RTT,0,0.5,2129,47,2118,COT-u,arc segments,0.74447646493756,0.0423042304230423,1.0
Right,contig,HTL,RTT,0,0.5,2129,47,2118,SDMu-HS4,arc labels,0.7924356694667566,0.053117782909930716,0.9787234042553191
Right,contig,HTL,RTT,0,0.5,2129,47,2118,SDMu-HSsrc,arc segments,0.7781950661189119,0.05113636363636364,0.9574468085106383
Right,contig,HTL,RTT,0,0.5,2129,47,2118,SDMu-PCA,arc segments,0.7989198193226643,0.054827175208581644,0.9787234042553191
Right,contig,HTL,RTT,1,0.05,2129,8,213,COT-u,arc segments,0.6529054691183405,0.007331378299120235,0.625
Right,contig,HTL,RTT,1,0.05,2129,8,213,SDMu-HSsrc,arc segments,0.7597241867043847,0.012121212121212121,0.75
Right,contig,HTL,RTT,1,0.05,2129,8,213,SDMu-PCA,arc segments,0.5,0.0037576326914044154,1.0
Right,contig,HTL,RTT,1,0.1,2129,8,426,COT-u,arc segments,0.7267503536067892,0.00776914539400666,0.875
Right,contig,HTL,RTT,1,0.1,2129,8,426,SDMu-HS4,arc labels,0.7276343705799151,0.0136986301369863,0.625
Right,contig,HTL,RTT,1,0.1,2129,8,426,SDMu-HSsrc,arc segments,0.7292845355964168,0.013966480446927373,0.625
Right,contig,HTL,RTT,1,0.1,2129,8,426,SDMu-PCA,arc segments,0.46095591702027344,0.0031120331950207467,0.375
Right,contig,HTL,RTT,1,0.2,2129,8,852,COT-u,arc segments,0.8290900518623291,0.010914051841746248,1.0
Right,contig,HTL,RTT,1,0.2,2129,8,852,SDMu-HS4,arc labels,0.7177333804809052,0.012285012285012284,0.625
Right,contig,HTL,RTT,1,0.2,2129,8,852,SDMu-HSsrc,arc segments,0.7328206034889203,0.014577259475218658,0.625
Right,contig,HTL,RTT,1,0.2,2129,8,852,SDMu-PCA,arc segments,0.505068363979255,0.003835091083413231,0.5
Right,contig,HTL,RTT,1,0.3,2129,8,1278,COT-u,arc segments,0.8095238095238095,0.00980392156862745,1.0
Right,contig,HTL,RTT,1,0.3,2129,8,1278,SDMu-HS4,arc labels,0.7564238566713815,0.011787819253438114,0.75
Right,contig,HTL,RTT,1,0.3,2129,8,1278,SDMu-HSsrc,arc segments,0.7689179632248939,0.013157894736842105,0.75
Right,contig,HTL,RTT,1,0.3,2129,8,1278,SDMu-PCA,arc segments,0.7144625176803394,0.008733624454148471,0.75
Right,contig,HTL,RTT,1,0.5,2129,8,2106,COT-u,arc segments,0.7748703441772749,0.008307372793354102,1.0
Right,contig,HTL,RTT,1,0.5,2129,8,2106,SDMu-HS4,arc labels,0.7531235266383781,0.011472275334608031,0.75
Right,contig,HTL,RTT,1,0.5,2129,8,2106,SDMu-HSsrc,arc segments,0.7200907590759076,0.012594458438287154,0.625
Right,contig,HTL,RTT,1,0.5,2129,8,2106,SDMu-PCA,arc segments,0.7762553041018387,0.010130246020260492,0.875
Right,contig,HTL,RTT,2,0.05,2129,6,213,COT-u,arc segments,0.8012639346836239,0.010101010101010102,0.8333333333333334
Right,contig,HTL,RTT,2,0.05,2129,6,213,SDMu-HS4,arc labels,0.5769744072852881,0.03571428571428571,0.16666666666666666
Right,contig,HTL,RTT,2,0.05,2129,6,213,SDMu-HSsrc,arc segments,0.655832940807034,0.041666666666666664,0.3333333333333333
Right,contig,HTL,RTT,2,0.05,2129,6,213,SDMu-PCA,arc segments,0.44461453917412463,0.001694915254237288,0.16666666666666666
Right,contig,HTL,RTT,2,0.1,2129,6,426,COT-u,arc segments,0.8643429109750354,0.010309278350515464,1.0
Right,contig,HTL,RTT,2,0.1,2129,6,426,SDMu-HS4,arc labels,0.7318652849740932,0.0375,0.5
Right,contig,HTL,RTT,2,0.1,2129,6,426,SDMu-HSsrc,arc segments,0.8107238184958392,0.04,0.6666666666666666
Right,contig,HTL,RTT,2,0.1,2129,6,426,SDMu-PCA,arc segments,0.7998900926362066,0.0273972602739726,0.6666666666666666
Right,contig,HTL,RTT,2,0.2,2129,6,852,COT-u,arc segments,0.817946302402261,0.007702182284980745,1.0
Right,contig,HTL,RTT,2,0.2,2129,6,852,SDMu-HS4,arc labels,0.8735672790076936,0.026595744680851064,0.8333333333333334
Right,contig,HTL,RTT,2,0.2,2129,6,852,SDMu-HSsrc,arc segments,0.8702700580938922,0.024752475247524754,0.8333333333333334
Right,contig,HTL,RTT,2,0.2,2129,6,852,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,RTT,2,0.3,2129,6,1278,COT-u,arc segments,0.7783796514366463,0.006335797254487857,1.0
Right,contig,HTL,RTT,2,0.3,2129,6,1278,SDMu-HS4,arc labels,0.8396530067514524,0.015060240963855422,0.8333333333333334
Right,contig,HTL,RTT,2,0.3,2129,6,1278,SDMu-HSsrc,arc segments,0.8599073637933742,0.02032520325203252,0.8333333333333334
Right,contig,HTL,RTT,2,0.3,2129,6,1278,SDMu-PCA,arc segments,0.8450698696812686,0.016181229773462782,0.8333333333333334
Right,contig,HTL,RTT,2,0.5,2129,6,2106,COT-u,arc segments,0.7385774846914743,0.005376344086021506,1.0
Right,contig,HTL,RTT,2,0.5,2129,6,2106,SDMu-HS4,arc labels,0.8337651122625216,0.014005602240896359,0.8333333333333334
