Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDMu-HS4,0.47244318181818185
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDMu-HSsrc,0.46960227272727273
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDMu-PCA,0.5391098484848484
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,COT-c,0.5017992424242425
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDM-HS4,0.4928030303030303
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDM-HSsrc,0.4642045454545455
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.1,SDM-PCA,0.43929924242424245
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,COT-u,0.478030303030303
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDMu-HS4,0.46865530303030306
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDMu-HSsrc,0.4725378787878788
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDMu-PCA,0.5840909090909091
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,COT-c,0.509469696969697
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDM-HS4,0.5258522727272728
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDM-HSsrc,0.5107954545454545
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.5,SDM-PCA,0.5211174242424242
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,QOTc-PCA,0.5176898482331095
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-12,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTc-PCA,0.5176898482331095
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-10,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTc-PCA,0.5176898482331095
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-09,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTc-PCA,0.5176898482331095
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-08,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTu-PCA,0.6125476453094676
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTc-PCA,0.5176898482331095
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,1e-06,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTu-HS4,0.6413302989263225
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTu-HSsrc,0.508998506066487
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTu-PCA,0.6359758736718651
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTc-HS4,0.44619046954190694
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTc-HSsrc,0.4708403725060386
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTc-PCA,0.4934308811415328
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.0001,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTu-HS4,0.5234770953464669
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTu-HSsrc,0.5174385323150384
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTu-PCA,0.5145483992572218
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTc-HS4,0.4167236781480809
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTc-HSsrc,0.42399787777669184
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTc-PCA,0.45586613238764084
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,none-HS4,0.49434539184340226
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,none-HSsrc,0.49808720662357064
Amp,Right,HTL,PTT,1,0.05,1,EPS,0.01,none-PCA,0.5101922566773244
Amp,Right,HTL,PTT,1,0.05,1,OTREG,0.001,COT-u,0.5516105161749718
Amp,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDMu-HS4,0.4977730617259819
Amp,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDMu-HSsrc,0.5071275986764029
Amp,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDMu-PCA,0.4879577789257641
