Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTu-HS4,0.59427837426525
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTu-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTu-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTc-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTc-HSsrc,0.3553048601706156
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,QOTc-PCA,0.4920277005989696
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-10,none-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTu-HS4,0.59427837426525
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTu-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTu-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTc-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTc-HSsrc,0.3553048601706156
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,QOTc-PCA,0.4920277005989696
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-09,none-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTu-HS4,0.59427837426525
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTu-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTu-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTc-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTc-HSsrc,0.3553048601706156
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,QOTc-PCA,0.4920277005989696
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-08,none-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTu-HS4,0.59427837426525
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTu-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTu-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTc-HS4,0.5041885986345168
