Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Ang,Right,HTL,PTT,1,0.05,srcperm,COT-u,0.5748083716124708
Ang,Right,HTL,PTT,1,0.05,srcperm,SDMu-HS4,0.5099060357706323
Ang,Right,HTL,PTT,1,0.05,srcperm,SDMu-HSsrc,0.5697331862669813
Ang,Right,HTL,PTT,1,0.05,srcperm,SDMu-PCA,0.41256300350446085
Ang,Right,HTL,PTT,1,0.05,arcperm,NoAdapt,0.5045934965025202
Ang,Right,HTL,PTT,1,0.05,arcperm,TargetOnly,0.4932633371961521
Ang,Right,HTL,PTT,1,0.05,arcperm,Source+Target,0.49389860798905383
Ang,Right,HTL,PTT,1,0.05,arcperm,COT,0.5510520363570361
Ang,Right,HTL,PTT,1,0.05,arcperm,none-Ang-HS4,0.5009145107018695
Ang,Right,HTL,PTT,1,0.05,arcperm,none-Ang-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,arcperm,none-Ang-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTu-Ang-HS4,0.6003797662761963
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTu-Ang-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTu-Ang-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTc-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTc-Ang-HSsrc,0.3524984990854893
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTc-Ang-PCA,0.5009145107018695
Ang,Right,HTL,PTT,1,0.05,arcperm,SDM-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,arcperm,SDM-Ang-HSsrc,0.48120715412646775
Ang,Right,HTL,PTT,1,0.05,arcperm,SDM-Ang-PCA,0.5153512139955042
Ang,Right,HTL,PTT,1,0.05,arcperm,COT-u,0.47726289041229775
Ang,Right,HTL,PTT,1,0.05,arcperm,SDMu-HS4,0.44510841489465675
Ang,Right,HTL,PTT,1,0.05,arcperm,SDMu-HSsrc,0.5518618320930427
Ang,Right,HTL,PTT,1,0.05,arcperm,SDMu-PCA,0.6601440877930274
Ang,Right,HTL,PTT,1,0.05,srcperm,NoAdapt,0.3875640506541195
Ang,Right,HTL,PTT,1,0.05,srcperm,TargetOnly,0.4096868324420926
Ang,Right,HTL,PTT,1,0.05,srcperm,Source+Target,0.46889965513871246
Ang,Right,HTL,PTT,1,0.05,srcperm,COT,0.45978247211091405
Ang,Right,HTL,PTT,1,0.05,srcperm,none-Ang-HS4,0.3468089859402706
Ang,Right,HTL,PTT,1,0.05,srcperm,none-Ang-HSsrc,0.3434930120212781
Ang,Right,HTL,PTT,1,0.05,srcperm,none-Ang-PCA,0.5132848386691425
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTu-Ang-HS4,0.3296008265501305
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTu-Ang-HSsrc,0.3310040070926937
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTu-Ang-PCA,0.3724432095835137
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTc-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTc-Ang-HSsrc,0.4742331373999972
Ang,Right,HTL,PTT,1,0.05,srcperm,QOTc-Ang-PCA,0.495769515379138
Ang,Right,HTL,PTT,1,0.05,srcperm,SDM-Ang-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,srcperm,SDM-Ang-HSsrc,0.47797495218016556
Ang,Right,HTL,PTT,1,0.05,srcperm,SDM-Ang-PCA,0.48173770995350657
Ang,Right,HTL,PTT,1,0.05,srcperm,COT-u,0.49607667927900256
Ang,Right,HTL,PTT,1,0.05,srcperm,SDMu-HS4,0.38267037124945896
Ang,Right,HTL,PTT,1,0.05,srcperm,SDMu-HSsrc,0.3399117601887662
Ang,Right,HTL,PTT,1,0.05,srcperm,SDMu-PCA,0.5576351172109518
Ang,Right,HTL,PTT,1,0.05,arcperm,NoAdapt,0.5045934965025202
Ang,Right,HTL,PTT,1,0.05,arcperm,TargetOnly,0.4732976837049551
Ang,Right,HTL,PTT,1,0.05,arcperm,Source+Target,0.49389860798905383
Ang,Right,HTL,PTT,1,0.05,arcperm,COT,0.48803456990073024
Ang,Right,HTL,PTT,1,0.05,arcperm,none-Ang-HS4,0.5027644750987811
Ang,Right,HTL,PTT,1,0.05,arcperm,none-Ang-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,arcperm,none-Ang-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTu-Ang-HS4,0.6017829468187593
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTu-Ang-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTu-Ang-PCA,0.6000237353922623
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTc-Ang-HS4,0.4971936389148737
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTc-Ang-HSsrc,0.4788894628820351
Ang,Right,HTL,PTT,1,0.05,arcperm,QOTc-Ang-PCA,0.4976613657623948
Ang,Right,HTL,PTT,1,0.05,arcperm,SDM-Ang-HS4,0.4976404227692222
Ang,Right,HTL,PTT,1,0.05,arcperm,SDM-Ang-HSsrc,0.48966812336819177
Ang,Right,HTL,PTT,1,0.05,arcperm,SDM-Ang-PCA,0.48175865294667913
Ang,Right,HTL,PTT,1,0.05,arcperm,COT-u,0.47726289041229775
Ang,Right,HTL,PTT,1,0.05,arcperm,SDMu-HS4,0.45397428200438406
Ang,Right,HTL,PTT,1,0.05,arcperm,SDMu-HSsrc,0.5518618320930427
Ang,Right,HTL,PTT,1,0.05,arcperm,SDMu-PCA,0.6601440877930274
Ang,Right,HTL,PTT,1,0.2,real,NoAdapt,0.5045934965025202
Ang,Right,HTL,PTT,1,0.2,real,TargetOnly,0.47088225849238374
Ang,Right,HTL,PTT,1,0.2,real,Source+Target,0.5125657959035506
Ang,Right,HTL,PTT,1,0.2,real,COT,0.39428675146251907
Ang,Right,HTL,PTT,1,0.2,real,none-Ang-HS4,0.5065062898789495
Ang,Right,HTL,PTT,1,0.2,real,none-Ang-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.2,real,none-Ang-PCA,0.4265040559596778
Ang,Right,HTL,PTT,1,0.2,real,QOTu-Ang-HS4,0.6073956689890119
Ang,Right,HTL,PTT,1,0.2,real,QOTu-Ang-HSsrc,0.4694302109657512
Ang,Right,HTL,PTT,1,0.2,real,QOTu-Ang-PCA,0.6386077098138867
