Side,alpha,Source,Target,Rot,AdaptFrac,Method,BAC
Right,0.01,PTT,WRM,4,0.5,none-HSsrc,0.6130514705882353
Right,0.01,PTT,WRM,5,0.05,QOTu-HSsrc,0.6655724789915967
Right,0.01,PTT,WRM,5,0.05,none-HSsrc,0.5983455882352942
Right,0.01,PTT,WRM,5,0.5,QOTu-HSsrc,0.5899422268907564
Right,0.01,PTT,WRM,5,0.5,none-HSsrc,0.5983455882352942
Right,0.01,PTT,WRM,6,0.05,QOTu-HSsrc,0.6134596134596135
Right,0.01,PTT,WRM,6,0.05,none-HSsrc,0.6267806267806267
Right,0.01,PTT,WRM,6,0.5,QOTu-HSsrc,0.6369831369831369
Right,0.01,PTT,WRM,6,0.5,none-HSsrc,0.6267806267806267
Right,0.01,PTT,WRM,7,0.05,QOTu-HSsrc,0.5993685993685993
Right,0.01,PTT,WRM,7,0.05,none-HSsrc,0.5922845922845923
Right,0.01,PTT,WRM,7,0.5,QOTu-HSsrc,0.619003619003619
Right,0.01,PTT,WRM,7,0.5,none-HSsrc,0.5922845922845923
Right,0.01,RTT,HTL,0,0.05,QOTu-HSsrc,0.5788095420139154
Right,0.01,RTT,HTL,0,0.05,none-HSsrc,0.6061434360425109
Right,0.01,RTT,HTL,0,0.5,QOTu-HSsrc,0.591004663965135
Right,0.01,RTT,HTL,0,0.5,none-HSsrc,0.6061434360425109
Right,0.01,RTT,HTL,1,0.05,QOTu-HSsrc,0.5938914027149321
Right,0.01,RTT,HTL,1,0.05,none-HSsrc,0.5874811463046756
Right,0.01,RTT,HTL,1,0.5,QOTu-HSsrc,0.572418036040327
Right,0.01,RTT,HTL,1,0.5,none-HSsrc,0.5874811463046756
Right,0.01,RTT,HTL,2,0.05,QOTu-HSsrc,0.6040327061998889
Right,0.01,RTT,HTL,2,0.05,none-HSsrc,0.5936532507739938
Right,0.01,RTT,HTL,2,0.5,QOTu-HSsrc,0.5642216400730333
Right,0.01,RTT,HTL,2,0.5,none-HSsrc,0.5936532507739938
Right,0.01,RTT,HTL,3,0.05,QOTu-HSsrc,0.571003190358029
Right,0.01,RTT,HTL,3,0.05,none-HSsrc,0.5727578872740163
Right,0.01,RTT,HTL,3,0.5,QOTu-HSsrc,0.5518964906061681
Right,0.01,RTT,HTL,3,0.5,none-HSsrc,0.5727578872740163
Right,0.01,RTT,HTL,4,0.05,QOTu-HSsrc,0.6351012145748989
Right,0.01,RTT,HTL,4,0.05,none-HSsrc,0.5747773279352226
Right,0.01,RTT,HTL,4,0.5,QOTu-HSsrc,0.5851821862348179
Right,0.01,RTT,HTL,4,0.5,none-HSsrc,0.5747773279352226
Right,0.01,RTT,HTL,5,0.05,QOTu-HSsrc,0.5778347996089932
Right,0.01,RTT,HTL,5,0.05,none-HSsrc,0.5777649769585254
Right,0.01,RTT,HTL,5,0.5,QOTu-HSsrc,0.5665933528836755
Right,0.01,RTT,HTL,5,0.5,none-HSsrc,0.5777649769585254
Right,0.01,RTT,HTL,6,0.05,QOTu-HSsrc,0.5827110330185226
Right,0.01,RTT,HTL,6,0.05,none-HSsrc,0.5414378797862216
Right,0.01,RTT,HTL,6,0.5,QOTu-HSsrc,0.549820631085731
Right,0.01,RTT,HTL,6,0.5,none-HSsrc,0.5414378797862216
Right,0.01,RTT,HTL,7,0.05,QOTu-HSsrc,0.5680862250262881
Right,0.01,RTT,HTL,7,0.05,none-HSsrc,0.506891242301337
Right,0.01,RTT,HTL,7,0.5,QOTu-HSsrc,0.572930749586901
Right,0.01,RTT,HTL,7,0.5,none-HSsrc,0.506891242301337
Right,0.01,RTT,PTT,0,0.05,QOTu-HSsrc,0.4308712121212121
Right,0.01,RTT,PTT,0,0.05,none-HSsrc,0.4336174242424242
Right,0.01,RTT,PTT,0,0.5,QOTu-HSsrc,0.4666666666666667
Right,0.01,RTT,PTT,0,0.5,none-HSsrc,0.4336174242424242
Right,0.01,RTT,PTT,1,0.05,QOTu-HSsrc,0.43630537676444714
Right,0.01,RTT,PTT,1,0.05,none-HSsrc,0.41653519120952764
Right,0.01,RTT,PTT,1,0.5,QOTu-HSsrc,0.47467992125434566
Right,0.01,RTT,PTT,1,0.5,none-HSsrc,0.41653519120952764
Right,0.01,RTT,PTT,2,0.05,QOTu-HSsrc,0.4615626265305837
Right,0.01,RTT,PTT,2,0.05,none-HSsrc,0.38757801264956787
Right,0.01,RTT,PTT,2,0.5,QOTu-HSsrc,0.4718735601692194
Right,0.01,RTT,PTT,2,0.5,none-HSsrc,0.38757801264956787
Right,0.01,RTT,PTT,3,0.05,QOTu-HSsrc,0.41631387306399065
Right,0.01,RTT,PTT,3,0.05,none-HSsrc,0.3832122510845137
Right,0.01,RTT,PTT,3,0.5,QOTu-HSsrc,0.4595114897472081
Right,0.01,RTT,PTT,3,0.5,none-HSsrc,0.3832122510845137
Right,0.01,RTT,PTT,4,0.05,QOTu-HSsrc,0.48135899521098763
Right,0.01,RTT,PTT,4,0.05,none-HSsrc,0.3698834372458661
Right,0.01,RTT,PTT,4,0.5,QOTu-HSsrc,0.45647420258425947
Right,0.01,RTT,PTT,4,0.5,none-HSsrc,0.3698834372458661
Right,0.01,RTT,PTT,5,0.05,QOTu-HSsrc,0.4691136974037601
Right,0.01,RTT,PTT,5,0.05,none-HSsrc,0.38378174621872496
Right,0.01,RTT,PTT,5,0.5,QOTu-HSsrc,0.4467323187108326
Right,0.01,RTT,PTT,5,0.5,none-HSsrc,0.38378174621872496
Right,0.01,RTT,PTT,6,0.05,QOTu-HSsrc,0.7178787878787878
Right,0.01,RTT,PTT,6,0.05,none-HSsrc,0.6181313131313131
Right,0.01,RTT,PTT,6,0.5,QOTu-HSsrc,0.7206060606060606
Right,0.01,RTT,PTT,6,0.5,none-HSsrc,0.6181313131313131
Right,0.01,RTT,PTT,7,0.05,QOTu-HSsrc,0.6658759327319301
Right,0.01,RTT,PTT,7,0.05,none-HSsrc,0.6604855774585143
Right,0.01,RTT,PTT,7,0.5,QOTu-HSsrc,0.757422875598619
Right,0.01,RTT,PTT,7,0.5,none-HSsrc,0.6604855774585143
Right,0.01,RTT,WRM,0,0.05,QOTu-HSsrc,0.5779936974789917
Right,0.01,RTT,WRM,0,0.05,none-HSsrc,0.6101628151260504
Right,0.01,RTT,WRM,0,0.5,QOTu-HSsrc,0.5779936974789917
Right,0.01,RTT,WRM,0,0.5,none-HSsrc,0.6101628151260504
Right,0.01,RTT,WRM,1,0.05,QOTu-HSsrc,0.6020880421913679
Right,0.01,RTT,WRM,1,0.05,none-HSsrc,0.467280163599182
Right,0.01,RTT,WRM,1,0.5,QOTu-HSsrc,0.4815950920245399
Right,0.01,RTT,WRM,1,0.5,none-HSsrc,0.467280163599182
Right,0.01,RTT,WRM,2,0.05,QOTu-HSsrc,0.6027210884353742
Right,0.01,RTT,WRM,2,0.05,none-HSsrc,0.4530612244897959
Right,0.01,RTT,WRM,2,0.5,QOTu-HSsrc,0.4704081632653061
Right,0.01,RTT,WRM,2,0.5,none-HSsrc,0.4530612244897959
Right,0.01,RTT,WRM,3,0.05,QOTu-HSsrc,0.6006453214197072
Right,0.01,RTT,WRM,3,0.05,none-HSsrc,0.5953090096798213
Right,0.01,RTT,WRM,3,0.5,QOTu-HSsrc,0.599590469099032
Right,0.01,RTT,WRM,3,0.5,none-HSsrc,0.5953090096798213
Right,0.01,RTT,WRM,4,0.05,QOTu-HSsrc,0.6218487394957983
Right,0.01,RTT,WRM,4,0.05,none-HSsrc,0.5920430672268908
Right,0.01,RTT,WRM,4,0.5,QOTu-HSsrc,0.5974264705882353
Right,0.01,RTT,WRM,4,0.5,none-HSsrc,0.5920430672268908
Right,0.01,RTT,WRM,5,0.05,QOTu-HSsrc,0.6548056722689075
Right,0.01,RTT,WRM,5,0.05,none-HSsrc,0.5804884453781513
Right,0.01,RTT,WRM,5,0.5,QOTu-HSsrc,0.5816701680672269
Right,0.01,RTT,WRM,5,0.5,none-HSsrc,0.5804884453781513
Right,0.01,RTT,WRM,6,0.05,QOTu-HSsrc,0.5764225764225764
Right,0.01,RTT,WRM,6,0.05,none-HSsrc,0.6080696080696081
Right,0.01,RTT,WRM,6,0.5,QOTu-HSsrc,0.6061831061831062
Right,0.01,RTT,WRM,6,0.5,none-HSsrc,0.6080696080696081
Right,0.01,RTT,WRM,7,0.05,QOTu-HSsrc,0.5756525756525757
Right,0.01,RTT,WRM,7,0.05,none-HSsrc,0.5852005852005852
Right,0.01,RTT,WRM,7,0.5,QOTu-HSsrc,0.581889581889582
Right,0.01,RTT,WRM,7,0.5,none-HSsrc,0.5852005852005852
Right,0.01,WRM,HTL,0,0.05,QOTu-HSsrc,0.5633075923235722
Right,0.01,WRM,HTL,0,0.05,none-HSsrc,0.5334314550042052
Right,0.01,WRM,HTL,0,0.5,QOTu-HSsrc,0.5575923235721385
Right,0.01,WRM,HTL,0,0.5,none-HSsrc,0.5334314550042052
Right,0.01,WRM,HTL,1,0.05,QOTu-HSsrc,0.5854568548067001
Right,0.01,WRM,HTL,1,0.05,none-HSsrc,0.53163451615464
Right,0.01,WRM,HTL,1,0.5,QOTu-HSsrc,0.5812296578550449
Right,0.01,WRM,HTL,1,0.5,none-HSsrc,0.53163451615464
Right,0.01,WRM,HTL,2,0.05,QOTu-HSsrc,0.55689846788918
Right,0.01,WRM,HTL,2,0.05,none-HSsrc,0.5269905533063428
Right,0.01,WRM,HTL,2,0.5,QOTu-HSsrc,0.562653806461856
Right,0.01,WRM,HTL,2,0.5,none-HSsrc,0.5269905533063428
Right,0.01,WRM,HTL,3,0.05,QOTu-HSsrc,0.5892059553349875
Right,0.01,WRM,HTL,3,0.05,none-HSsrc,0.545763913505849
Right,0.01,WRM,HTL,3,0.5,QOTu-HSsrc,0.600088621056363
Right,0.01,WRM,HTL,3,0.5,none-HSsrc,0.545763913505849
Right,0.01,WRM,HTL,4,0.05,QOTu-HSsrc,0.5920242914979758
Right,0.01,WRM,HTL,4,0.05,none-HSsrc,0.5402631578947368
Right,0.01,WRM,HTL,4,0.5,QOTu-HSsrc,0.5947368421052632
Right,0.01,WRM,HTL,4,0.5,none-HSsrc,0.5402631578947368
Right,0.01,WRM,HTL,5,0.05,QOTu-HSsrc,0.561618489037844
Right,0.01,WRM,HTL,5,0.05,none-HSsrc,0.5201962016478145
