Enc,Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Ang,Right,contig,HTL,RTT,1,0.3,2129,8,1278,COT-u,arc segments,0.8095238095238095,0.00980392156862745,1.0
Ang,Right,contig,HTL,RTT,1,0.3,2129,8,1278,SDMu-HS4,arc labels,0.44404172560113153,0.0031887755102040817,0.625
Ang,Right,contig,HTL,RTT,1,0.3,2129,8,1278,SDMu-HSsrc,arc segments,0.5578736445073078,0.004884004884004884,0.5
Ang,Right,contig,HTL,RTT,1,0.3,2129,8,1278,SDMu-PCA,arc segments,0.6977251296558227,0.0079155672823219,0.75
Ang,Right,contig,HTL,RTT,1,0.5,2129,8,2106,COT-u,arc segments,0.7748703441772749,0.008307372793354102,1.0
Ang,Right,contig,HTL,RTT,1,0.5,2129,8,2106,SDMu-HS4,arc labels,0.29965228665723714,0.0008960573476702509,0.125
Ang,Right,contig,HTL,RTT,1,0.5,2129,8,2106,SDMu-HSsrc,arc segments,0.5170615275813295,0.004132231404958678,0.375
Ang,Right,contig,HTL,RTT,1,0.5,2129,8,2106,SDMu-PCA,arc segments,0.6729431871758604,0.008375209380234505,0.625
Ang,Right,contig,HTL,RTT,2,0.05,2129,6,213,COT-u,arc segments,0.8012639346836239,0.010101010101010102,0.8333333333333334
Ang,Right,contig,HTL,RTT,2,0.05,2129,6,213,SDMu-HS4,arc labels,0.5553069555660229,0.008333333333333333,0.16666666666666666
